/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:38:41,764 - INFO - [31/7120] Publisher Correction: Colibactin-driven colon cancer requires adhesin-...
2026-02-22 12:38:43,498 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:38:43,498 - INFO - [32/7120] Daily briefing: What people with no ‘mind’s eye’ can tell us about con...
2026-02-22 12:38:45,147 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:38:45,147 - INFO - [33/7120] A tumour-to-brain pathway hinders anticancer defences...
2026-02-22 12:38:47,098 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:47,098 - INFO - [34/7120] These mysterious ridges could help skin regenerate...
2026-02-22 12:38:48,969 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:48,970 - INFO - [35/7120] Tree rings and salt lakes give clues about ancient rainfall...
2026-02-22 12:38:51,008 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:51,008 - INFO - [36/7120] ‘We need to dismantle the stigma of alcohol dependence in academia’...
2026-02-22 12:38:53,115 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:53,115 - INFO - [37/7120] Author Correction: Relatively warm deep-water formation persisted in t...
2026-02-22 12:38:55,097 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:55,097 - INFO - [38/7120] Signatures of fractional charges via anyon–trions in twisted MoTe2...
2026-02-22 12:38:57,152 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:57,153 - INFO - [39/7120] China to punish universities that fail to sanction research misconduct...
2026-02-22 12:38:59,193 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:59,193 - INFO - [40/7120] How some COVID vaccines triggered rare blood-clot disorder...
2026-02-22 12:39:01,203 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:01,203 - INFO - [41/7120] Tumour–brain crosstalk restrains cancer immunity via a sensory–sympath...
2026-02-22 12:39:02,862 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:02,863 - INFO - [42/7120] What were the first animals? The fierce sponge–jelly battle that just ...
2026-02-22 12:39:04,756 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:04,756 - INFO - [43/7120] Internet blackout: Iran’s academic shutdown...
2026-02-22 12:39:06,762 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:06,762 - INFO - [44/7120] Marvellous microbes, memory and the multiverse: Books in brief...
2026-02-22 12:39:08,712 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:08,712 - INFO - [45/7120] Six highlights from lung-health research...
2026-02-22 12:39:10,602 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:10,603 - INFO - [46/7120] Audio long read: ‘I rarely get outside’ — scientists ditch fieldwork i...
2026-02-22 12:39:12,632 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:12,632 - INFO - [47/7120] Constraints on axion dark matter by distributed intercity quantum sens...
2026-02-22 12:39:14,680 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:14,680 - INFO - [48/7120] SLAMF6 as a drug-targetable suppressor of T cell immunity against canc...
2026-02-22 12:39:16,683 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:16,683 - INFO - [49/7120] Mid-cycle update...
2026-02-22 12:39:18,733 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:18,733 - INFO - [50/7120] Academia’s parent trap: the struggles faced by researcher mothers...
2026-02-22 12:39:20,630 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:20,631 - INFO - [51/7120] Robust partitioning of cell contents by physical instabilities and bio...
2026-02-22 12:39:22,680 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:22,681 - INFO - [52/7120] Five ways increased militarization could change scientific careers...
2026-02-22 12:39:24,664 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:24,664 - INFO - [53/7120] Will self-driving ‘robot labs’ replace biologists? Paper sparks debate...
2026-02-22 12:39:26,645 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:26,646 - INFO - [54/7120] Radiation-tolerant atomic-layer-scale RF system for spaceborne communi...
2026-02-22 12:39:28,648 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:28,648 - INFO - [55/7120] Can the clean-energy revolution save us from climate catastrophe?...
2026-02-22 12:39:30,573 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:30,573 - INFO - [56/7120] Not just a chip off the old block: nanoparticles reveal odd traits...
2026-02-22 12:39:32,717 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:32,717 - INFO - [57/7120] What drugs are safe during pregnancy? There’s a shocking lack of data...
2026-02-22 12:39:34,714 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:34,714 - INFO - [58/7120] Jupiter gets downsized — and squashed...
2026-02-22 12:39:36,462 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:39:36,462 - INFO - [59/7120] Vacuum ultraviolet second-harmonic generation in NH4B4O6F crystal...
2026-02-22 12:39:38,416 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:38,416 - INFO - [60/7120] Daily briefing: Exercise rewires the brain for endurance, in mice...
2026-02-22 12:39:40,047 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:39:40,047 - INFO - [61/7120] How to wow a popular-science writer with your research expertise...
2026-02-22 12:39:42,285 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:42,285 - INFO - [62/7120] A roadmap for evaluating moral competence in large language models...
2026-02-22 12:39:44,317 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:44,317 - INFO - [63/7120] Tiny robot fish could swim through the body powered by ultrasound...
2026-02-22 12:39:46,325 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:46,325 - INFO - [64/7120] Highly dynamic dural sinuses support meningeal immunity...
2026-02-22 12:39:48,355 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:48,355 - INFO - [65/7120] Deepest-ever rock core extracted from under Antarctic ice sheet...
2026-02-22 12:39:50,288 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:50,288 - INFO - [66/7120] Efficient near-telomere-to-telomere assembly of nanopore simplex reads...
2026-02-22 12:39:52,530 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:52,531 - INFO - [67/7120] Exposome studies can improve lung health...
2026-02-22 12:39:54,499 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:54,500 - INFO - [68/7120] Optical control of integer and fractional Chern insulators...
2026-02-22 12:39:56,229 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:56,230 - INFO - [69/7120] Briefing Chat: The canny cow that can use tools, and how babies share ...
2026-02-22 12:39:58,113 - INFO -   ✗ Rejected: No match
2026-02-22 12:39:58,114 - INFO - [70/7120] Eviction notice...
2026-02-22 12:40:00,064 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:00,064 - INFO - [71/7120] Cleavage of mRNAs by a minority of pachytene piRNAs improves sperm fit...
2026-02-22 12:40:01,713 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:01,713 - INFO - [72/7120] Regulation of STING activation by phosphoinositide and cholesterol...
2026-02-22 12:40:03,321 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:40:03,322 - INFO - [73/7120] Still working at 107: supercentenarian study probes genetics of extrem...
2026-02-22 12:40:05,360 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:05,360 - INFO - [74/7120] Largest galaxy survey yet confirms that the Universe is not clumpy eno...
2026-02-22 12:40:07,123 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:40:07,123 - INFO - [75/7120] Author Correction: Cotranslational assembly of protein complexes in eu...
2026-02-22 12:40:09,254 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:09,254 - INFO - [76/7120] Could the regenerative power of the lungs help to reverse disease?...
2026-02-22 12:40:11,165 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:11,165 - INFO - [77/7120] Astrocytes enable amygdala neural representations supporting memory...
2026-02-22 12:40:12,914 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:12,914 - INFO - [78/7120] Transferable enantioselectivity models from sparse data...
2026-02-22 12:40:15,018 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:15,019 - INFO - [79/7120] How to rescue the aid industry: focus on conflict prevention, not just...
2026-02-22 12:40:16,992 - INFO -   ✗ Rejected: No match
2026-02-22 12:40:16,992 - INFO - [80/7120] Public-speaking tips from the experts: what scientists can learn from ...
