/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:42:01,596 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:01,596 - INFO - [30/278] A reversed latitudinal ocean oxygen gradient in the Proterozoic Eon...
2026-02-22 12:42:03,621 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:03,621 - INFO - [31/278] Amazon forest nutrient limitation is mitigated by distant fire emissio...
2026-02-22 12:42:05,588 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:05,588 - INFO - [32/278] A unified time-frequency foundation model for sleep decoding...
2026-02-22 12:42:07,474 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:07,474 - INFO - [33/278] Injectable hydrogels for osteomyelitis treatment induce metabolic repr...
2026-02-22 12:42:09,214 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:09,214 - INFO - [34/278] Predicting age of respiratory syncytial virus infection from birth tim...
2026-02-22 12:42:10,979 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:10,979 - INFO - [35/278] A centrally positioned cluster of multiple centrioles in antigen-prese...
2026-02-22 12:42:12,730 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:12,730 - INFO - [36/278] A comprehensive N-glycoproteome atlas reveals tissue-specific glycan r...
2026-02-22 12:42:14,476 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:14,476 - INFO - [37/278] Synthetic rewriting technologies in mammalian cells...
2026-02-22 12:42:16,118 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:16,118 - INFO - [38/278] Metallic tellurium for p-type contacts of two-dimensional MoTe2 field-...
2026-02-22 12:42:17,883 - INFO -   ✗ Rejected: No match
2026-02-22 12:42:17,884 - INFO - [39/278] Identification of a thermogenic target in the dorsal raphe nucleus for...
